"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"214877_at",38.0092127161046,1.4876805552608,0.255885647685225,5.81384914987828,6.10524358140714e-09,1.57390617109589e-07
"214888_at",18.9014044569026,-1.00227332530594,0.216002822815518,-4.64009364434071,3.48251331913213e-06,3.97782415130922e-05
"214916_x_at",491.431374793966,-1.31294492665926,0.298748581751262,-4.39481559699056,1.10866826215727e-05,0.000107746914794667
"214971_s_at",110.939807949955,1.11546158970719,0.195952269537577,5.69251681717971,1.25180264380275e-08,2.93834845955262e-07
"215047_at",302.753129045314,-1.11950501687249,0.271416683198416,-4.12467282290855,3.71262132503125e-05,0.000301731749715443
"215101_s_at",99.1342962740076,1.1717447953922,0.398029690485904,2.94386279064198,0.00324143669811923,0.0128539898683925
"215159_s_at",111.316711094205,1.12257898727797,0.173278169829979,6.47847901659767,9.26518132526019e-11,4.10554617719318e-09
"215214_at",155.384638195741,-1.06827421404356,0.276578972802434,-3.86245636542532,0.000112252619629169,0.000775334412446485
"215224_at",24.8807575651467,-1.67752685541656,0.257153223824849,-6.52345255667163,6.8707151974245e-11,3.14460034312574e-09
"215322_at",61.9669331401115,-1.23280644828415,0.166166348747481,-7.41911017228655,1.17909803134386e-13,1.18150982277161e-11
"215434_x_at",484.476659751086,-1.35178473643502,0.208064479808808,-6.4969510301671,8.1964126632307e-11,3.68754932981471e-09
"215621_s_at",129.145548141125,-2.36469543838345,0.372760621701498,-6.34373724238787,2.24257190220706e-10,8.8591706471276e-09
"215666_at",122.473584070842,2.67805612272965,0.777246124783603,3.44557024774521,0.000569855830379325,0.00302467217834163
"215708_s_at",73.3287695637323,1.23627895719779,0.183257543298182,6.7461286173973,1.51842031884585e-11,8.19761043158122e-10
"215780_s_at",557.523651987811,1.01706991312513,0.18185056889773,5.5928882669436,2.23323016293656e-08,4.92199489380732e-07
"215784_at",23.447877593506,1.05693836068465,0.216178165516293,4.88920034158117,1.0124641550136e-06,1.38738576164279e-05
"215794_x_at",124.788008392878,1.05621058224383,0.13511542757937,7.81709832227256,5.40548820401816e-15,7.68799919081164e-13
"215838_at",103.821436191741,2.03317044248214,0.269814124905616,7.53544849882623,4.8665923746605e-14,5.40927876803651e-12
"215891_s_at",75.4039891892471,1.79013249313188,0.284420086423466,6.29397352220265,3.09440630831633e-10,1.18123267648197e-08
"215905_s_at",92.8238894589662,1.68488286065996,0.208216365645845,8.09198093259285,5.87021009064176e-16,1.09359533618195e-13
"215925_s_at",159.756568426317,-1.37642044299641,0.36505852598987,-3.77041034520204,0.000162979345718898,0.0010603678336566
"215936_s_at",827.459336414205,-1.57224548273611,0.211826806354999,-7.42231594664747,1.15089863633708e-13,1.15763773861829e-11
"216080_s_at",34.0366956124677,-1.02211266663927,0.207683639889521,-4.9214886024869,8.58884050386859e-07,1.20343848882066e-05
